feature,importance
num__age,0.09272985501740018
num__hour,0.06310513690518715
cat__agg_catr_1_3,0.03076933301078767
cat__agg_catr_2_4,0.029961008975357677
num__nbv,0.027704502875888663
cat__belt_status_1,0.02596028361416648
cat__belt_user_type_code_1,0.02092961697433145
cat__belt_user_type_code_2,0.019402819873795198
cat__col_1,0.017897325772646785
cat__belt_status_-1,0.015216858972023316
cat__season_3,0.013543996762469236
cat__season_1,0.013030862182970945
cat__season_2,0.012891913116836936
cat__dayofweek_4,0.012172362523280439
cat__season_4,0.01166712675479529
cat__circ_2,0.011552112337784023
cat__dayofweek_2,0.011232021173792005
cat__dayofweek_3,0.011182561293764704
cat__dayofweek_1,0.010959436721921376
cat__age_bin_3.0,0.010813742167975935
cat__dayofweek_5,0.010806111857260353
cat__dayofweek_0,0.010802218628678677
cat__choc_1,0.010691112554811718
cat__catv_group_1,0.010659384013366002
cat__int_1,0.010602797593949982
cat__senc_0,0.010512135594664474
cat__rush_hour_1,0.010366819828256855
cat__rush_hour_0,0.010345886874036408
cat__age_bin_4.0,0.010254192209378775
cat__dayofweek_6,0.009454373969849
