feature,importance
num__age,0.07809897324643737
num__hour,0.057991757716819296
cat__agg_catr_1_3,0.03180013880109521
cat__agg_catr_2_4,0.02963707072124256
num__nbv,0.027083363333057806
cat__belt_status_1,0.02680195623669153
cat__belt_user_type_code_1,0.021293659465881125
cat__belt_user_type_code_2,0.017854879917854158
cat__col_1,0.017700954839763784
cat__belt_status_-1,0.01681065263198308
cat__season_3,0.013152968535395946
cat__season_1,0.012626602760018571
cat__season_2,0.012608629964187547
cat__choc_1,0.01232062840597955
cat__circ_2,0.011915278441005771
cat__dayofweek_4,0.011689139673398076
cat__season_4,0.0115719493017618
cat__catv_group_1,0.011074729717287546
cat__senc_0,0.011016203382463074
cat__age_bin_3.0,0.010839259134705001
cat__int_1,0.010819356025772785
cat__dayofweek_3,0.010802650704645212
cat__dayofweek_2,0.010765030890770943
cat__dayofweek_1,0.010699527221369813
cat__rush_hour_1,0.010650602456422777
cat__rush_hour_0,0.010597152248151017
cat__dayofweek_5,0.010458379812686444
cat__dayofweek_0,0.01044901584576835
cat__age_bin_4.0,0.010168369449621665
cat__catv_group_2,0.009718526380038402
